timestamp_utc,context_length,repeat_index,measured_vram_mib,measured_vram_gb,baseline_vram_mib,delta_vram_gb,predicted_vram_gb,gpu_index
2026-08-13T12:26:37.546059+00:00,512,0,4189.0,4.0908,1.0,4.0898,5.04,0
2026-08-13T12:26:50.811946+00:00,512,1,4189.0,4.0908,1.0,4.0898,5.04,0
2026-08-13T12:27:04.148083+00:00,512,2,4189.0,4.0908,1.0,4.0898,5.04,0
2026-08-13T12:27:17.115228+00:00,512,3,4189.0,4.0908,1.0,4.0898,5.04,0
2026-08-13T12:27:30.125339+00:00,512,4,4189.0,4.0908,1.0,4.0898,5.04,0
2026-08-13T12:27:43.528103+00:00,1024,0,4253.0,4.1533,1.0,4.1523,5.1071,0
2026-08-13T12:27:57.107721+00:00,1024,1,4253.0,4.1533,1.0,4.1523,5.1071,0
2026-08-13T12:28:10.294198+00:00,1024,2,4253.0,4.1533,1.0,4.1523,5.1071,0
2026-08-13T12:28:23.970086+00:00,1024,3,4253.0,4.1533,1.0,4.1523,5.1071,0
2026-08-13T12:28:37.085983+00:00,1024,4,4253.0,4.1533,1.0,4.1523,5.1071,0
2026-08-13T12:28:50.574050+00:00,2048,0,4381.0,4.2783,1.0,4.2773,5.2414,0
2026-08-13T12:29:04.685833+00:00,2048,1,4381.0,4.2783,1.0,4.2773,5.2414,0
2026-08-13T12:29:18.204785+00:00,2048,2,4381.0,4.2783,1.0,4.2773,5.2414,0
2026-08-13T12:29:32.273134+00:00,2048,3,4381.0,4.2783,1.0,4.2773,5.2414,0
2026-08-13T12:29:45.782332+00:00,2048,4,4381.0,4.2783,1.0,4.2773,5.2414,0
2026-08-13T12:30:00.624798+00:00,4096,0,4637.0,4.5283,1.0,4.5273,5.5098,0
2026-08-13T12:30:15.498301+00:00,4096,1,4637.0,4.5283,1.0,4.5273,5.5098,0
2026-08-13T12:30:30.066155+00:00,4096,2,4637.0,4.5283,1.0,4.5273,5.5098,0
2026-08-13T12:30:44.361121+00:00,4096,3,4637.0,4.5283,1.0,4.5273,5.5098,0
2026-08-13T12:30:58.713231+00:00,4096,4,4637.0,4.5283,1.0,4.5273,5.5098,0
2026-08-13T12:31:15.235452+00:00,8192,0,5149.0,5.0283,1.0,5.0273,6.0467,0
2026-08-13T12:31:31.311578+00:00,8192,1,5149.0,5.0283,1.0,5.0273,6.0467,0
2026-08-13T12:31:47.951600+00:00,8192,2,5149.0,5.0283,1.0,5.0273,6.0467,0
2026-08-13T12:32:04.054264+00:00,8192,3,5149.0,5.0283,1.0,5.0273,6.0467,0
2026-08-13T12:32:20.651388+00:00,8192,4,5149.0,5.0283,1.0,5.0273,6.0467,0
2026-08-13T12:32:41.379745+00:00,16384,0,6221.0,6.0752,1.0,6.0742,7.1204,0
2026-08-13T12:33:02.387870+00:00,16384,1,6221.0,6.0752,1.0,6.0742,7.1204,0
2026-08-13T12:33:23.388868+00:00,16384,2,6221.0,6.0752,1.0,6.0742,7.1204,0
2026-08-13T12:33:44.435239+00:00,16384,3,6221.0,6.0752,1.0,6.0742,7.1204,0
2026-08-13T12:34:04.970781+00:00,16384,4,6221.0,6.0752,1.0,6.0742,7.1204,0
2026-08-13T12:34:38.870749+00:00,32768,0,8221.0,8.0283,1.0,8.0273,9.2679,0
2026-08-13T12:35:12.911989+00:00,32768,1,8221.0,8.0283,1.0,8.0273,9.2679,0
2026-08-13T12:35:47.149895+00:00,32768,2,8221.0,8.0283,1.0,8.0273,9.2679,0
2026-08-13T12:36:22.001061+00:00,32768,3,8221.0,8.0283,1.0,8.0273,9.2679,0
2026-08-13T12:36:56.815271+00:00,32768,4,8221.0,8.0283,1.0,8.0273,9.2679,0
2026-08-13T12:38:29.613918+00:00,65536,0,12409.0,12.1182,1.0,12.1172,13.5629,0
2026-08-13T12:40:03.540676+00:00,65536,1,12409.0,12.1182,1.0,12.1172,13.5629,0
2026-08-13T12:41:38.079622+00:00,65536,2,12409.0,12.1182,1.0,12.1172,13.5629,0
2026-08-13T12:43:13.633055+00:00,65536,3,12409.0,12.1182,1.0,12.1172,13.5629,0
2026-08-13T12:44:48.621816+00:00,65536,4,12409.0,12.1182,1.0,12.1172,13.5629,0
