metric,sample_id,mean,std,cv,min,max,n_runs
faithfulness,1,0.678891,0.06501,0.095759,0.6,0.809524,20
faithfulness,2,0.094391,0.069962,0.741196,0.041667,0.230769,20
faithfulness,3,0.333333,0.0,0.0,0.333333,0.333333,20
faithfulness,4,0.4,0.0,0.0,0.4,0.4,20
faithfulness,5,0.049675,0.009717,0.195619,0.045455,0.090909,20
faithfulness,6,0.666667,0.0,0.0,0.666667,0.666667,20
faithfulness,7,1.0,0.0,0.0,1.0,1.0,20
faithfulness,8,0.535753,0.091458,0.170709,0.384615,0.689655,20
faithfulness,9,0.2125,0.130997,0.616454,0.0,0.333333,20
faithfulness,10,0.471905,0.092684,0.196404,0.285714,0.666667,20
faithfulness,11,0.739378,0.070144,0.094869,0.64,0.863636,20
faithfulness,12,0.625455,0.017097,0.027335,0.6,0.636364,20
faithfulness,13,0.675,0.24468,0.362489,0.5,1.0,20
faithfulness,14,0.876389,0.049547,0.056536,0.666667,0.888889,20
faithfulness,15,0.202381,0.055972,0.276566,0.166667,0.285714,20
faithfulness,16,0.794733,0.055781,0.070188,0.689655,0.888889,20
faithfulness,17,0.942712,0.110275,0.116976,0.684211,1.0,20
faithfulness,18,0.486699,0.168091,0.34537,0.302326,0.880952,20
faithfulness,19,0.509237,0.035568,0.069846,0.45,0.592593,20
faithfulness,20,0.0,0.0,,0.0,0.0,20
answer_relevance,1,0.937792,0.002988,0.003187,0.93227,0.942967,20
answer_relevance,2,0.816346,0.0,0.0,0.816346,0.816346,20
answer_relevance,3,0.9779,0.002943,0.003009,0.974076,0.983636,20
answer_relevance,4,0.858061,0.011089,0.012923,0.83694,0.880018,20
answer_relevance,5,0.961161,0.001849,0.001923,0.95827,0.964511,20
answer_relevance,6,0.998938,0.0,0.0,0.998938,0.998938,20
answer_relevance,7,0.960881,0.006816,0.007093,0.949912,0.974087,20
answer_relevance,8,0.757102,0.023966,0.031655,0.719132,0.800335,20
answer_relevance,9,0.510925,0.054589,0.106843,0.469461,0.644475,20
answer_relevance,10,0.735596,0.006012,0.008173,0.724593,0.747899,20
answer_relevance,11,0.969781,0.0,0.0,0.969781,0.969781,20
answer_relevance,12,0.921708,0.0,0.0,0.921708,0.921708,20
answer_relevance,13,0.905893,0.0,0.0,0.905893,0.905893,20
answer_relevance,14,0.747157,0.032077,0.042933,0.721307,0.829544,20
answer_relevance,15,0.857417,0.002925,0.003412,0.851645,0.858843,20
answer_relevance,16,0.915906,0.005644,0.006162,0.90599,0.923591,20
answer_relevance,17,0.98342,0.001759,0.001789,0.976003,0.984241,20
answer_relevance,18,0.811801,0.00644,0.007933,0.806461,0.821394,20
answer_relevance,19,0.977728,0.001174,0.001201,0.974061,0.978816,20
answer_relevance,20,0.986892,0.0,0.0,0.986892,0.986892,20
context_precision,1,1.0,0.0,0.0,1.0,1.0,20
context_precision,2,0.470833,0.127604,0.271018,0.333333,0.583333,20
context_precision,3,0.333333,0.0,0.0,0.333333,0.333333,20
context_precision,4,0.5,0.0,0.0,0.5,0.5,20
context_precision,5,0.5,0.0,0.0,0.5,0.5,20
context_precision,6,0.583333,0.0,0.0,0.583333,0.583333,20
context_precision,7,1.0,0.0,0.0,1.0,1.0,20
context_precision,8,1.0,0.0,0.0,1.0,1.0,20
context_precision,9,0.5,0.0,0.0,0.5,0.5,20
context_precision,10,1.0,0.0,0.0,1.0,1.0,20
context_precision,11,0.583333,0.0,0.0,0.583333,0.583333,20
context_precision,12,0.975,0.061058,0.062624,0.833333,1.0,20
context_precision,13,0.5,0.0,0.0,0.5,0.5,20
context_precision,14,1.0,0.0,0.0,1.0,1.0,20
context_precision,15,0.508333,0.24468,0.481338,0.333333,0.833333,20
context_precision,16,1.0,0.0,0.0,1.0,1.0,20
context_precision,17,0.5,0.0,0.0,0.5,0.5,20
context_precision,18,1.0,0.0,0.0,1.0,1.0,20
context_precision,19,0.85,0.051299,0.060352,0.833333,1.0,20
context_precision,20,0.504167,0.018634,0.03696,0.5,0.583333,20
context_recall,1,1.0,0.0,0.0,1.0,1.0,20
context_recall,2,1.0,0.0,0.0,1.0,1.0,20
context_recall,3,1.0,0.0,0.0,1.0,1.0,20
context_recall,4,1.0,0.0,0.0,1.0,1.0,20
context_recall,5,1.0,0.0,0.0,1.0,1.0,20
context_recall,6,1.0,0.0,0.0,1.0,1.0,20
context_recall,7,1.0,0.0,0.0,1.0,1.0,20
context_recall,8,1.0,0.0,0.0,1.0,1.0,20
context_recall,9,1.0,0.0,0.0,1.0,1.0,20
context_recall,10,1.0,0.0,0.0,1.0,1.0,20
context_recall,11,0.913899,0.115893,0.126812,0.6875,1.0,20
context_recall,12,1.0,0.0,0.0,1.0,1.0,20
context_recall,13,1.0,0.0,0.0,1.0,1.0,20
context_recall,14,1.0,0.0,0.0,1.0,1.0,20
context_recall,15,1.0,0.0,0.0,1.0,1.0,20
context_recall,16,1.0,0.0,0.0,1.0,1.0,20
context_recall,17,1.0,0.0,0.0,1.0,1.0,20
context_recall,18,1.0,0.0,0.0,1.0,1.0,20
context_recall,19,1.0,0.0,0.0,1.0,1.0,20
context_recall,20,1.0,0.0,0.0,1.0,1.0,20
