run_id,n_samples,mean_faithfulness,std_faithfulness,min_faithfulness,max_faithfulness,mean_answer_relevance,std_answer_relevance,min_answer_relevance,max_answer_relevance,mean_context_precision,std_context_precision,min_context_precision,max_context_precision,mean_context_recall,std_context_recall,min_context_recall,max_context_recall
1,20,0.4998,0.3066,0.0,1.0,0.8781,0.1286,0.4695,0.9989,0.725,0.2595,0.3333,1.0,0.9893,0.0479,0.7857,1.0
2,20,0.537,0.3138,0.0,1.0,0.8834,0.11,0.587,0.9989,0.725,0.2637,0.3333,1.0,1.0,0.0,1.0,1.0
3,20,0.548,0.3178,0.0,1.0,0.8801,0.1196,0.5297,0.9989,0.7375,0.2452,0.3333,1.0,0.9893,0.0479,0.7857,1.0
4,20,0.5294,0.3106,0.0,1.0,0.8811,0.1144,0.59,0.9989,0.7125,0.26,0.3333,1.0,1.0,0.0,1.0,1.0
5,20,0.5136,0.2947,0.0,1.0,0.8766,0.1284,0.4695,0.9989,0.7,0.2723,0.3333,1.0,1.0,0.0,1.0,1.0
6,20,0.5557,0.322,0.0,1.0,0.8808,0.1194,0.5297,0.9989,0.7,0.2723,0.3333,1.0,1.0,0.0,1.0,1.0
7,20,0.5149,0.3279,0.0,1.0,0.8828,0.1191,0.5268,0.9989,0.7,0.2723,0.3333,1.0,1.0,0.0,1.0,1.0
8,20,0.5354,0.3284,0.0,1.0,0.8873,0.1063,0.59,0.9989,0.7083,0.279,0.3333,1.0,0.9893,0.0479,0.7857,1.0
9,20,0.5372,0.3369,0.0,1.0,0.8761,0.1301,0.4695,0.9989,0.7,0.2723,0.3333,1.0,0.9893,0.0479,0.7857,1.0
10,20,0.5302,0.307,0.0,1.0,0.8816,0.1258,0.4695,0.9989,0.7125,0.26,0.3333,1.0,0.9867,0.0596,0.7333,1.0
11,20,0.4806,0.293,0.0,1.0,0.8854,0.1037,0.6445,0.9989,0.7292,0.2386,0.3333,1.0,1.0,0.0,1.0,1.0
12,20,0.484,0.3274,0.0,1.0,0.8792,0.1266,0.4695,0.9989,0.725,0.2595,0.3333,1.0,1.0,0.0,1.0,1.0
13,20,0.499,0.2987,0.0,1.0,0.8799,0.1208,0.5297,0.9989,0.7,0.2723,0.3333,1.0,1.0,0.0,1.0,1.0
14,20,0.4911,0.2809,0.0,1.0,0.8775,0.129,0.4695,0.9989,0.7042,0.2529,0.3333,1.0,0.9964,0.016,0.9286,1.0
15,20,0.5099,0.2977,0.0,1.0,0.8777,0.1301,0.4695,0.9989,0.7042,0.2529,0.3333,1.0,1.0,0.0,1.0,1.0
16,20,0.5307,0.2981,0.0,1.0,0.8777,0.1304,0.4695,0.9989,0.7125,0.26,0.3333,1.0,0.9844,0.0699,0.6875,1.0
17,20,0.503,0.3285,0.0,1.0,0.8754,0.1308,0.4695,0.9989,0.7125,0.26,0.3333,1.0,1.0,0.0,1.0,1.0
18,20,0.5025,0.2746,0.0,1.0,0.8774,0.1294,0.4695,0.9989,0.7375,0.2452,0.3333,1.0,0.9893,0.0479,0.7857,1.0
19,20,0.4914,0.2931,0.0,1.0,0.8792,0.12,0.5268,0.9989,0.7375,0.2452,0.3333,1.0,1.0,0.0,1.0,1.0
20,20,0.5015,0.2959,0.0,1.0,0.875,0.1324,0.4695,0.9989,0.725,0.2595,0.3333,1.0,1.0,0.0,1.0,1.0
