run_id,n_samples,mean_faithfulness,std_faithfulness,min_faithfulness,max_faithfulness,mean_answer_relevance,std_answer_relevance,min_answer_relevance,max_answer_relevance,mean_context_precision,std_context_precision,min_context_precision,max_context_precision,mean_context_recall,std_context_recall,min_context_recall,max_context_recall
1,20,0.535,0.3163,0.0,1.0,0.8807,0.1192,0.5297,0.9989,0.7,0.2723,0.3333,1.0,1.0,0.0,1.0,1.0
2,20,0.5217,0.3095,0.0,1.0,0.8802,0.118,0.5432,0.9989,0.7125,0.26,0.3333,1.0,1.0,0.0,1.0,1.0
3,20,0.4879,0.3063,0.0,1.0,0.8784,0.1233,0.5268,0.9989,0.7042,0.2529,0.3333,1.0,0.95,0.2236,0.0,1.0
4,20,0.4879,0.2884,0.0,1.0,0.8791,0.1226,0.526,0.9989,0.7208,0.2667,0.3333,1.0,1.0,0.0,1.0,1.0
5,20,0.4964,0.3258,0.0,1.0,0.8802,0.1265,0.4695,0.9989,0.7,0.2723,0.3333,1.0,1.0,0.0,1.0,1.0
6,20,0.4836,0.2847,0.0,1.0,0.8754,0.1315,0.4695,0.9989,0.7125,0.26,0.3333,1.0,1.0,0.0,1.0,1.0
7,20,0.5114,0.2889,0.0,1.0,0.8755,0.1309,0.4695,0.9989,0.7,0.2723,0.3333,1.0,1.0,0.0,1.0,1.0
8,20,0.5177,0.3192,0.0,1.0,0.8862,0.1078,0.594,0.9989,0.7,0.2723,0.3333,1.0,1.0,0.0,1.0,1.0
9,20,0.5221,0.3387,0.0,1.0,0.8828,0.1183,0.5297,0.9989,0.7375,0.2452,0.3333,1.0,1.0,0.0,1.0,1.0
10,20,0.5271,0.2952,0.0,1.0,0.8805,0.1216,0.5297,0.9989,0.7375,0.2452,0.3333,1.0,1.0,0.0,1.0,1.0
11,20,0.5572,0.3294,0.0,1.0,0.8823,0.1177,0.5297,0.9989,0.7375,0.2452,0.3333,1.0,1.0,0.0,1.0,1.0
12,20,0.4988,0.3059,0.0,1.0,0.8795,0.1209,0.5269,0.9989,0.7083,0.25,0.3333,1.0,0.9893,0.0479,0.7857,1.0
13,20,0.4941,0.2963,0.0,1.0,0.8869,0.116,0.5267,0.9989,0.7208,0.2667,0.3333,1.0,0.9923,0.0344,0.8462,1.0
14,20,0.541,0.3082,0.0,1.0,0.879,0.1226,0.5268,0.9989,0.7125,0.26,0.3333,1.0,0.9893,0.0479,0.7857,1.0
15,20,0.5418,0.3007,0.0,1.0,0.8825,0.1095,0.5841,0.9989,0.7208,0.2667,0.3333,1.0,0.95,0.2236,0.0,1.0
16,20,0.5039,0.2859,0.0,1.0,0.8765,0.1296,0.4695,0.9989,0.7125,0.26,0.3333,1.0,0.9893,0.0479,0.7857,1.0
17,20,0.5204,0.2972,0.0,1.0,0.8795,0.1271,0.4695,0.9989,0.7125,0.26,0.3333,1.0,1.0,0.0,1.0,1.0
18,20,0.4909,0.2896,0.0,1.0,0.8852,0.1083,0.5863,0.9989,0.7,0.2723,0.3333,1.0,1.0,0.0,1.0,1.0
19,20,0.4733,0.2861,0.0,1.0,0.8792,0.1204,0.5269,0.9989,0.7375,0.2452,0.3333,1.0,0.9844,0.0699,0.6875,1.0
20,20,0.5081,0.3126,0.0,1.0,0.8798,0.1206,0.5359,0.9989,0.7125,0.26,0.3333,1.0,0.9958,0.0186,0.9167,1.0
