timestamp_utc,context_length,repeat_index,measured_vram_mib,measured_vram_gb,baseline_vram_mib,delta_vram_gb,predicted_vram_gb,gpu_index
2026-08-12T15:25:33.156704+00:00,512,0,3851.0,3.7607,1.0,3.7598,4.71,0
2026-08-12T15:25:38.170921+00:00,512,1,3851.0,3.7607,1.0,3.7598,4.71,0
2026-08-12T15:25:43.185503+00:00,512,2,3851.0,3.7607,1.0,3.7598,4.71,0
2026-08-12T15:25:48.284759+00:00,512,3,3851.0,3.7607,1.0,3.7598,4.71,0
2026-08-12T15:25:53.341839+00:00,512,4,3851.0,3.7607,1.0,3.7598,4.71,0
2026-08-12T15:25:58.591207+00:00,1024,0,3915.0,3.8232,1.0,3.8223,4.7771,0
2026-08-12T15:26:03.845946+00:00,1024,1,3915.0,3.8232,1.0,3.8223,4.7771,0
2026-08-12T15:26:09.025304+00:00,1024,2,3915.0,3.8232,1.0,3.8223,4.7771,0
2026-08-12T15:26:14.274735+00:00,1024,3,3915.0,3.8232,1.0,3.8223,4.7771,0
2026-08-12T15:26:19.508726+00:00,1024,4,3915.0,3.8232,1.0,3.8223,4.7771,0
2026-08-12T15:26:25.103333+00:00,2048,0,4043.0,3.9482,1.0,3.9473,4.9113,0
2026-08-12T15:26:30.728138+00:00,2048,1,4043.0,3.9482,1.0,3.9473,4.9113,0
2026-08-12T15:26:36.362551+00:00,2048,2,4043.0,3.9482,1.0,3.9473,4.9113,0
2026-08-12T15:26:41.949604+00:00,2048,3,4043.0,3.9482,1.0,3.9473,4.9113,0
2026-08-12T15:26:47.606418+00:00,2048,4,4043.0,3.9482,1.0,3.9473,4.9113,0
2026-08-12T15:26:54.070265+00:00,4096,0,4299.0,4.1982,1.0,4.1973,5.1798,0
2026-08-12T15:27:00.515914+00:00,4096,1,4299.0,4.1982,1.0,4.1973,5.1798,0
2026-08-12T15:27:06.992714+00:00,4096,2,4299.0,4.1982,1.0,4.1973,5.1798,0
2026-08-12T15:27:13.473774+00:00,4096,3,4299.0,4.1982,1.0,4.1973,5.1798,0
2026-08-12T15:27:19.900981+00:00,4096,4,4299.0,4.1982,1.0,4.1973,5.1798,0
2026-08-12T15:27:29.413633+00:00,8192,0,4811.0,4.6982,1.0,4.6973,5.7166,0
2026-08-12T15:27:37.753421+00:00,8192,1,4811.0,4.6982,1.0,4.6973,5.7166,0
2026-08-12T15:27:46.054096+00:00,8192,2,4811.0,4.6982,1.0,4.6973,5.7166,0
2026-08-12T15:27:54.397221+00:00,8192,3,4811.0,4.6982,1.0,4.6973,5.7166,0
2026-08-12T15:28:02.668386+00:00,8192,4,4811.0,4.6982,1.0,4.6973,5.7166,0
2026-08-12T15:28:15.512679+00:00,16384,0,5883.0,5.7451,1.0,5.7441,6.7904,0
2026-08-12T15:28:28.409515+00:00,16384,1,5883.0,5.7451,1.0,5.7441,6.7904,0
2026-08-12T15:28:41.296606+00:00,16384,2,5883.0,5.7451,1.0,5.7441,6.7904,0
2026-08-12T15:28:54.230512+00:00,16384,3,5883.0,5.7451,1.0,5.7441,6.7904,0
2026-08-12T15:29:07.145723+00:00,16384,4,5883.0,5.7451,1.0,5.7441,6.7904,0
2026-08-12T15:29:34.142622+00:00,32768,0,7883.0,7.6982,1.0,7.6973,8.9379,0
2026-08-12T15:30:01.290102+00:00,32768,1,7883.0,7.6982,1.0,7.6973,8.9379,0
2026-08-12T15:30:28.527744+00:00,32768,2,7883.0,7.6982,1.0,7.6973,8.9379,0
2026-08-12T15:30:55.464201+00:00,32768,3,7883.0,7.6982,1.0,7.6973,8.9379,0
2026-08-12T15:31:22.489481+00:00,32768,4,7883.0,7.6982,1.0,7.6973,8.9379,0
2026-08-12T15:32:48.841966+00:00,65536,0,12071.0,11.7881,1.0,11.7871,13.2328,0
2026-08-12T15:34:16.208636+00:00,65536,1,12071.0,11.7881,1.0,11.7871,13.2328,0
2026-08-12T15:35:44.088326+00:00,65536,2,12071.0,11.7881,1.0,11.7871,13.2328,0
2026-08-12T15:37:12.212912+00:00,65536,3,12071.0,11.7881,1.0,11.7871,13.2328,0
2026-08-12T15:38:40.724695+00:00,65536,4,12071.0,11.7881,1.0,11.7871,13.2328,0
