timestamp_utc,context_length,repeat_index,measured_vram_mib,measured_vram_gb,baseline_vram_mib,delta_vram_gb,predicted_vram_gb,gpu_index
2026-07-20T13:58:26.591626+00:00,512,0,4983.0,4.8662,1.0,4.8652,5.7563,0
2026-07-20T13:58:32.124957+00:00,512,1,4983.0,4.8662,1.0,4.8652,5.7563,0
2026-07-20T13:58:37.682097+00:00,512,2,4983.0,4.8662,1.0,4.8652,5.7563,0
2026-07-20T13:58:43.234480+00:00,512,3,4983.0,4.8662,1.0,4.8652,5.7563,0
2026-07-20T13:58:48.766328+00:00,512,4,4983.0,4.8662,1.0,4.8652,5.7563,0
2026-07-20T13:58:54.478326+00:00,1024,0,5047.0,4.9287,1.0,4.9277,5.8234,0
2026-07-20T13:59:00.161940+00:00,1024,1,5047.0,4.9287,1.0,4.9277,5.8234,0
2026-07-20T13:59:05.954500+00:00,1024,2,5047.0,4.9287,1.0,4.9277,5.8234,0
2026-07-20T13:59:11.551390+00:00,1024,3,5047.0,4.9287,1.0,4.9277,5.8234,0
2026-07-20T13:59:17.289171+00:00,1024,4,5047.0,4.9287,1.0,4.9277,5.8234,0
2026-07-20T13:59:23.314798+00:00,2048,0,5175.0,5.0537,1.0,5.0527,5.9576,0
2026-07-20T13:59:29.362002+00:00,2048,1,5175.0,5.0537,1.0,5.0527,5.9576,0
2026-07-20T13:59:35.340966+00:00,2048,2,5175.0,5.0537,1.0,5.0527,5.9576,0
2026-07-20T13:59:41.410826+00:00,2048,3,5175.0,5.0537,1.0,5.0527,5.9576,0
2026-07-20T13:59:47.483044+00:00,2048,4,5175.0,5.0537,1.0,5.0527,5.9576,0
2026-07-20T13:59:54.277530+00:00,4096,0,5431.0,5.3037,1.0,5.3027,6.2261,0
2026-07-20T14:00:01.079614+00:00,4096,1,5431.0,5.3037,1.0,5.3027,6.2261,0
2026-07-20T14:00:07.888468+00:00,4096,2,5431.0,5.3037,1.0,5.3027,6.2261,0
2026-07-20T14:00:14.753467+00:00,4096,3,5431.0,5.3037,1.0,5.3027,6.2261,0
2026-07-20T14:00:21.616224+00:00,4096,4,5431.0,5.3037,1.0,5.3027,6.2261,0
2026-07-20T14:00:30.220263+00:00,8192,0,5943.0,5.8037,1.0,5.8027,6.7629,0
2026-07-20T14:00:38.799059+00:00,8192,1,5943.0,5.8037,1.0,5.8027,6.7629,0
2026-07-20T14:00:47.384153+00:00,8192,2,5943.0,5.8037,1.0,5.8027,6.7629,0
2026-07-20T14:00:55.957116+00:00,8192,3,5943.0,5.8037,1.0,5.8027,6.7629,0
2026-07-20T14:01:04.569155+00:00,8192,4,5943.0,5.8037,1.0,5.8027,6.7629,0
2026-07-20T14:01:17.481757+00:00,16384,0,7015.0,6.8506,1.0,6.8496,7.8367,0
2026-07-20T14:01:30.420911+00:00,16384,1,7015.0,6.8506,1.0,6.8496,7.8367,0
2026-07-20T14:01:43.333264+00:00,16384,2,7015.0,6.8506,1.0,6.8496,7.8367,0
2026-07-20T14:01:56.315421+00:00,16384,3,7015.0,6.8506,1.0,6.8496,7.8367,0
2026-07-20T14:02:09.312278+00:00,16384,4,7015.0,6.8506,1.0,6.8496,7.8367,0
2026-07-20T14:02:35.969399+00:00,32768,0,9015.0,8.8037,1.0,8.8027,9.9842,0
2026-07-20T14:03:02.526217+00:00,32768,1,9015.0,8.8037,1.0,8.8027,9.9842,0
2026-07-20T14:03:29.158033+00:00,32768,2,9015.0,8.8037,1.0,8.8027,9.9842,0
2026-07-20T14:03:56.190420+00:00,32768,3,9015.0,8.8037,1.0,8.8027,9.9842,0
2026-07-20T14:04:23.276294+00:00,32768,4,9015.0,8.8037,1.0,8.8027,9.9842,0
2026-07-20T14:05:48.229141+00:00,65536,0,13203.0,12.8936,1.0,12.8926,14.2791,0
2026-07-20T14:07:13.734456+00:00,65536,1,13203.0,12.8936,1.0,12.8926,14.2791,0
2026-07-20T14:08:40.462275+00:00,65536,2,13203.0,12.8936,1.0,12.8926,14.2791,0
2026-07-20T14:10:07.716394+00:00,65536,3,13203.0,12.8936,1.0,12.8926,14.2791,0
2026-07-20T14:11:35.039066+00:00,65536,4,13203.0,12.8936,1.0,12.8926,14.2791,0
2026-07-20T14:16:14.366407+00:00,114688,0,14233.0,13.8994,1.0,13.8984,20.7216,0
2026-07-20T14:20:53.861385+00:00,114688,1,14233.0,13.8994,1.0,13.8984,20.7216,0
2026-07-20T14:25:33.126507+00:00,114688,2,14233.0,13.8994,1.0,13.8984,20.7216,0
2026-07-20T14:30:11.756473+00:00,114688,3,14233.0,13.8994,1.0,13.8984,20.7216,0
2026-07-20T14:34:50.331274+00:00,114688,4,14233.0,13.8994,1.0,13.8984,20.7216,0
