timestamp_utc,context_length,repeat_index,measured_vram_mib,measured_vram_gb,baseline_vram_mib,delta_vram_gb,predicted_vram_gb,gpu_index
2026-07-20T10:28:13.270997+00:00,512,0,6790.0,6.6309,6601.0,0.1846,5.2507,0
2026-07-20T10:28:20.478559+00:00,512,1,6601.0,6.4463,6601.0,0.0,5.2507,0
2026-07-20T10:28:25.243519+00:00,512,2,6790.0,6.6309,6601.0,0.1846,5.2507,0
2026-07-20T10:28:29.876702+00:00,512,3,6601.0,6.4463,6601.0,0.0,5.2507,0
2026-07-20T10:28:34.644618+00:00,512,4,6790.0,6.6309,6601.0,0.1846,5.2507,0
2026-07-20T10:28:39.604720+00:00,1024,0,6790.0,6.6309,6601.0,0.1846,5.3178,0
2026-07-20T10:28:44.415518+00:00,1024,1,6601.0,6.4463,6601.0,0.0,5.3178,0
2026-07-20T10:28:49.224616+00:00,1024,2,6601.0,6.4463,6601.0,0.0,5.3178,0
2026-07-20T10:28:54.047351+00:00,1024,3,6601.0,6.4463,6601.0,0.0,5.3178,0
2026-07-20T10:28:58.977793+00:00,1024,4,6790.0,6.6309,6601.0,0.1846,5.3178,0
2026-07-20T10:29:04.263740+00:00,2048,0,6790.0,6.6309,6601.0,0.1846,5.452,0
2026-07-20T10:29:09.596597+00:00,2048,1,6790.0,6.6309,6601.0,0.1846,5.452,0
2026-07-20T10:29:14.907449+00:00,2048,2,6790.0,6.6309,6601.0,0.1846,5.452,0
2026-07-20T10:29:20.168929+00:00,2048,3,6790.0,6.6309,6601.0,0.1846,5.452,0
2026-07-20T10:29:25.494056+00:00,2048,4,6790.0,6.6309,6601.0,0.1846,5.452,0
2026-07-20T10:29:31.573466+00:00,4096,0,6790.0,6.6309,6601.0,0.1846,5.7205,0
2026-07-20T10:29:37.569928+00:00,4096,1,6601.0,6.4463,6601.0,0.0,5.7205,0
2026-07-20T10:29:43.524168+00:00,4096,2,6601.0,6.4463,6601.0,0.0,5.7205,0
2026-07-20T10:29:49.645835+00:00,4096,3,6790.0,6.6309,6601.0,0.1846,5.7205,0
2026-07-20T10:29:55.731691+00:00,4096,4,6790.0,6.6309,6601.0,0.1846,5.7205,0
2026-07-20T10:30:03.455511+00:00,8192,0,6601.0,6.4463,6601.0,0.0,6.2573,0
2026-07-20T10:30:11.294112+00:00,8192,1,6790.0,6.6309,6601.0,0.1846,6.2573,0
2026-07-20T10:30:19.105665+00:00,8192,2,6790.0,6.6309,6601.0,0.1846,6.2573,0
2026-07-20T10:30:26.918455+00:00,8192,3,6790.0,6.6309,6601.0,0.1846,6.2573,0
2026-07-20T10:30:34.749668+00:00,8192,4,6790.0,6.6309,6601.0,0.1846,6.2573,0
2026-07-20T10:30:46.837822+00:00,16384,0,6790.0,6.6309,6601.0,0.1846,7.3311,0
2026-07-20T10:30:58.849380+00:00,16384,1,6601.0,6.4463,6601.0,0.0,7.3311,0
2026-07-20T10:31:10.968261+00:00,16384,2,6790.0,6.6309,6601.0,0.1846,7.3311,0
2026-07-20T10:31:23.115368+00:00,16384,3,6790.0,6.6309,6601.0,0.1846,7.3311,0
2026-07-20T10:31:35.240089+00:00,16384,4,6601.0,6.4463,6601.0,0.0,7.3311,0
2026-07-20T10:32:00.911878+00:00,32768,0,6790.0,6.6309,6601.0,0.1846,9.4786,0
2026-07-20T10:32:26.478938+00:00,32768,1,6790.0,6.6309,6601.0,0.1846,9.4786,0
2026-07-20T10:32:51.921927+00:00,32768,2,8605.0,8.4033,6601.0,1.957,9.4786,0
2026-07-20T10:33:17.888509+00:00,32768,3,8605.0,8.4033,6601.0,1.957,9.4786,0
2026-07-20T10:33:43.797025+00:00,32768,4,8605.0,8.4033,6601.0,1.957,9.4786,0
2026-07-20T10:34:10.104451+00:00,65536,0,8605.0,8.4033,6601.0,1.957,13.7735,0
2026-07-20T10:34:36.902451+00:00,65536,1,8605.0,8.4033,6601.0,1.957,13.7735,0
2026-07-20T10:35:03.511287+00:00,65536,2,8605.0,8.4033,6601.0,1.957,13.7735,0
2026-07-20T10:35:30.248843+00:00,65536,3,8605.0,8.4033,6601.0,1.957,13.7735,0
2026-07-20T10:35:57.036354+00:00,65536,4,8605.0,8.4033,6601.0,1.957,13.7735,0
2026-07-20T10:36:24.254776+00:00,114688,0,8605.0,8.4033,6601.0,1.957,20.216,0
2026-07-20T10:36:51.847418+00:00,114688,1,8605.0,8.4033,6601.0,1.957,20.216,0
2026-07-20T10:37:19.177075+00:00,114688,2,8605.0,8.4033,6601.0,1.957,20.216,0
2026-07-20T10:37:46.557903+00:00,114688,3,8605.0,8.4033,6601.0,1.957,20.216,0
2026-07-20T10:38:14.045728+00:00,114688,4,8605.0,8.4033,6601.0,1.957,20.216,0
