timestamp_utc,context_length,repeat_index,measured_vram_mib,measured_vram_gb,baseline_vram_mib,delta_vram_gb,predicted_vram_gb,gpu_index
2026-07-20T16:56:57.851489+00:00,512,0,4757.0,4.6455,1.0,4.6445,5.4498,0
2026-07-20T16:57:03.261604+00:00,512,1,4757.0,4.6455,1.0,4.6445,5.4498,0
2026-07-20T16:57:08.823473+00:00,512,2,4757.0,4.6455,1.0,4.6445,5.4498,0
2026-07-20T16:57:14.045269+00:00,512,3,4757.0,4.6455,1.0,4.6445,5.4498,0
2026-07-20T16:57:19.247597+00:00,512,4,4757.0,4.6455,1.0,4.6445,5.4498,0
2026-07-20T16:57:24.900236+00:00,1024,0,4785.0,4.6729,1.0,4.6719,5.4791,0
2026-07-20T16:57:30.286286+00:00,1024,1,4785.0,4.6729,1.0,4.6719,5.4791,0
2026-07-20T16:57:35.649673+00:00,1024,2,4785.0,4.6729,1.0,4.6719,5.4791,0
2026-07-20T16:57:41.308272+00:00,1024,3,4785.0,4.6729,1.0,4.6719,5.4791,0
2026-07-20T16:57:46.720142+00:00,1024,4,4785.0,4.6729,1.0,4.6719,5.4791,0
2026-07-20T16:57:52.721114+00:00,2048,0,4841.0,4.7275,1.0,4.7266,5.5378,0
2026-07-20T16:57:58.661906+00:00,2048,1,4841.0,4.7275,1.0,4.7266,5.5378,0
2026-07-20T16:58:04.676293+00:00,2048,2,4841.0,4.7275,1.0,4.7266,5.5378,0
2026-07-20T16:58:10.423828+00:00,2048,3,4841.0,4.7275,1.0,4.7266,5.5378,0
2026-07-20T16:58:16.162114+00:00,2048,4,4841.0,4.7275,1.0,4.7266,5.5378,0
2026-07-20T16:58:22.661059+00:00,4096,0,4953.0,4.8369,1.0,4.8359,5.6553,0
2026-07-20T16:58:29.428729+00:00,4096,1,4953.0,4.8369,1.0,4.8359,5.6553,0
2026-07-20T16:58:36.230134+00:00,4096,2,4953.0,4.8369,1.0,4.8359,5.6553,0
2026-07-20T16:58:43.017685+00:00,4096,3,4953.0,4.8369,1.0,4.8359,5.6553,0
2026-07-20T16:58:49.802695+00:00,4096,4,4953.0,4.8369,1.0,4.8359,5.6553,0
2026-07-20T16:58:57.951695+00:00,8192,0,5185.0,5.0635,1.0,5.0625,5.8902,0
2026-07-20T16:59:06.092702+00:00,8192,1,5185.0,5.0635,1.0,5.0625,5.8902,0
2026-07-20T16:59:14.249191+00:00,8192,2,5185.0,5.0635,1.0,5.0625,5.8902,0
2026-07-20T16:59:22.672680+00:00,8192,3,5185.0,5.0635,1.0,5.0625,5.8902,0
2026-07-20T16:59:30.728182+00:00,8192,4,5185.0,5.0635,1.0,5.0625,5.8902,0
2026-07-20T16:59:42.976614+00:00,16384,0,5673.0,5.54,1.0,5.5391,6.3599,0
2026-07-20T16:59:54.972131+00:00,16384,1,5673.0,5.54,1.0,5.5391,6.3599,0
2026-07-20T17:00:07.227005+00:00,16384,2,5673.0,5.54,1.0,5.5391,6.3599,0
2026-07-20T17:00:19.127483+00:00,16384,3,5673.0,5.54,1.0,5.5391,6.3599,0
2026-07-20T17:00:31.359054+00:00,16384,4,5673.0,5.54,1.0,5.5391,6.3599,0
2026-07-20T17:00:54.831907+00:00,32768,0,6601.0,6.4463,1.0,6.4453,7.2994,0
2026-07-20T17:01:18.754182+00:00,32768,1,6601.0,6.4463,1.0,6.4453,7.2994,0
2026-07-20T17:01:42.409301+00:00,32768,2,6601.0,6.4463,1.0,6.4453,7.2994,0
2026-07-20T17:02:06.540019+00:00,32768,3,6601.0,6.4463,1.0,6.4453,7.2994,0
2026-07-20T17:02:30.544227+00:00,32768,4,6601.0,6.4463,1.0,6.4453,7.2994,0
2026-07-20T17:02:54.958633+00:00,65536,0,6601.0,6.4463,1.0,6.4453,9.1785,0
2026-07-20T17:03:18.983990+00:00,65536,1,6601.0,6.4463,1.0,6.4453,9.1785,0
2026-07-20T17:03:43.258491+00:00,65536,2,6601.0,6.4463,1.0,6.4453,9.1785,0
2026-07-20T17:04:07.754164+00:00,65536,3,6601.0,6.4463,1.0,6.4453,9.1785,0
2026-07-20T17:04:32.341400+00:00,65536,4,6601.0,6.4463,1.0,6.4453,9.1785,0
2026-07-20T17:04:57.115631+00:00,114688,0,6601.0,6.4463,1.0,6.4453,11.9971,0
2026-07-20T17:05:21.898082+00:00,114688,1,6601.0,6.4463,1.0,6.4453,11.9971,0
2026-07-20T17:05:46.871951+00:00,114688,2,6601.0,6.4463,1.0,6.4453,11.9971,0
2026-07-20T17:06:11.966375+00:00,114688,3,6601.0,6.4463,1.0,6.4453,11.9971,0
2026-07-20T17:06:36.890630+00:00,114688,4,6601.0,6.4463,1.0,6.4453,11.9971,0
